rsi,pivot_k,direction,locations,trigger,target_r,n_trades,winrate,avg_r,profit_factor,total_r,max_dd_r,n_instruments,n_instruments_positive,score,per_instrument
9,5,long,fib,candle,1.5,6,0.5,0.25,1.5,1.5,3.0,4,3,0.6123724356957945,"EURUSD:n=1,avgR=1.50; MSFT:n=2,avgR=0.25; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
9,5,long,sr+fib,candle,1.5,6,0.5,0.25,1.5,1.5,3.0,4,3,0.6123724356957945,"EURUSD:n=1,avgR=1.50; MSFT:n=2,avgR=0.25; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
9,5,long,sr,either,1.5,75,0.4266666666666667,0.06260075634350272,1.1116879896757066,4.695056725762704,12.25444301133092,5,3,0.5421384528959321,"GOOG:n=4,avgR=-0.51; EURUSD:n=22,avgR=0.14; MSFT:n=19,avgR=0.17; SP500:n=16,avgR=-0.39; NASDAQ:n=14,avgR=0.49"
14,3,long,fib,macd,1.5,4,0.5,0.25,1.5,1.0,2.0,4,2,0.5,"EURUSD:n=1,avgR=1.50; MSFT:n=1,avgR=1.50; SP500:n=1,avgR=-1.00; NASDAQ:n=1,avgR=-1.00"
14,3,short,sr+bb,macd,2.5,9,0.3333333333333333,0.16666666666666666,1.25,1.5,3.0,4,2,0.5,"EURUSD:n=1,avgR=-1.00; MSFT:n=5,avgR=-0.30; SP500:n=2,avgR=0.75; NASDAQ:n=1,avgR=2.50"
14,3,long,sr+bb,macd,1.5,4,0.5,0.25,1.5,1.0,2.0,3,2,0.5,"EURUSD:n=1,avgR=1.50; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=0.25"
14,3,long,sr,either,1.5,107,0.4205607476635514,0.0458846363339896,1.0804406873014598,4.909656087736887,13.996791181054046,5,2,0.4746343688680427,"GOOG:n=6,avgR=-0.26; EURUSD:n=30,avgR=0.00; MSFT:n=28,avgR=-0.08; SP500:n=23,avgR=0.16; NASDAQ:n=20,avgR=0.25"
9,3,long,fib,candle,1.5,11,0.45454545454545453,0.13636363636363635,1.25,1.5,4.0,4,2,0.4522670168666454,"EURUSD:n=3,avgR=-0.17; MSFT:n=3,avgR=0.67; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=0.67"
9,3,long,bb,macd,1.5,11,0.45454545454545453,0.13636363636363635,1.25,1.5,3.5,3,1,0.4522670168666454,"EURUSD:n=6,avgR=0.67; MSFT:n=3,avgR=-0.17; SP500:n=2,avgR=-1.00"
14,5,long,sr+fib,either,2.5,6,0.3333333333333333,0.16666666666666666,1.25,1.0,3.0,4,2,0.40824829046386296,"EURUSD:n=1,avgR=2.50; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=-1.00; NASDAQ:n=2,avgR=0.75"
